DC0000000	['奥斯特公司。', '葛兰素史克加拿大公司', '许昌振德外科敷料有限公司。', '麦肯齐体育用品有限责任公司', '厄普舍史密斯实验室公司。', '普克伦斯配方公司。', '辉瑞制药比利时公司', '克罗格', '创意花园天然产品', 'i3制药有限责任公司', '斯派克特科学实验室公司', 'ONCODERM实验室有限责任公司', 'ZapVir公司。', 'Zydus制药（美国）有限公司。', '德尔金化妆品公司', '美丽建筑师有限责任公司', '圆桥公司', '广州市苍天生物科技有限公司。', '医疗科技产品公司。', '云雀Cmc']
DC0000048	['汤米铜业公司。', '亨廷顿实验室，生态实验室公司。', 'TWB战略投资公司。', '矿物生物', '希拉里分销有限公司。', 'Flex美容实验室有限责任公司', '新基医药', '卢卡斯产品公司', '宝洁制药公司（Procter and gamble pharmaceuticals inc.）隶属于宝洁公司（Procter and gamble co.）', '陶氏制药科学', '浙江阳光化妆品有限公司。', '商业莱利公司。', '伊士曼柯达公司', '共同麒麟控股有限公司。', 'Jd Nelson&Associates', 'Ivc工业，霍尔分部', '广州广三生物制药有限公司。', 'Franslux，S.A.de C.V。', '锡安埃克斯美国公司', '哈蒙商店公司。']
DC0000049	['MMG消费品牌有限责任公司', '传统制药公司。', '堪萨斯城疫苗公司。', 'Unipack公司。', 'Conopco，Inc.D\\/b\\/a\\/联合利华', '帝斯曼涂料树脂公司。', 'Shopko商店运营有限责任公司', '梅塔制药公司。', 'Metrics公司。', 'Les Industries Sanfacon公司。', '瑞士自然产品公司。', '正射科学公司。', '亚历克索公司。', '斯温顿大道贸易有限公司。', 'Graceway制药公司', '高露洁口服药物', 'HOMELIKE公司', '丽娜酿酒公司', 'Acnefree加拿大', '中国纺织科学院绿色纤维有限公司']
DC0000050	['奥斯汀研究实验室公司', '哈佛药物集团有限责任公司', '360健康咖啡有限责任公司', '纯净森林公司。', '阿海珐制药', '安德斯实验室公司。', '辉瑞爱尔兰制药公司', '自然科技公司。', '盖吉制药，汽巴盖吉加拿大有限公司。', 'Jg制药公司。', 'He B', 'Mediserve医疗设备公司。', '费森公司', '科肯有限公司。', '汕头博美化妆品有限公司。', '高级手套厂', '个人护理产品', '怡灵制药有限公司。', 'Topmost化工纸业公司', '伊芙琳查尔斯水疗中心']
DC0000051	['Ecosolutions，S.de R.L.de C.V。', '美联工业公司。', '雷克索尔日落有限责任公司', '乡村制药有限责任公司', '博比多德学院', 'CareFusion 2200公司', 'Freshorize有限公司。', '法玛西美国有限责任公司', '卡里布变革组织，阿诺尼玛社会', '温州赛诺斯化妆品科技有限公司。', 'Silarx制药公司。', '藤村贸易股份有限公司。', '十五度有限公司', 'Adma生物制品公司。', 'EQMAXON公司。', 'C.F.E.B.-西斯利', '你的MG。有限公司', '爵士制药公司', '美国医疗公司', '凤凰湿巾公司']
DC0000052	['H&C 21美国公司', '阿玛克里斯产品公司。', 'Grupo Insoma S.A.P.I de C.V。', '义乌市安科化妆品有限公司', 'LTP全球', '地球健康公司', 'CNF贸易集团', '顺州公司', '食污垢产品有限公司。', '爱德华兹制药公司', '天时改善私人有限公司', '酱汁工匠', '英嘉企业私人有限公司', '艾达·格雷夫斯有限公司', '首选制药公司。', '创新解决方案公司。', '马蒂亚斯·梅迪纳·坎波斯（Matrias Primas Medina Campos SA de CV）。', '义乌市思路奇化妆品有限公司。', '价值跟单员', '海维公司。']
DC0000053	['联合制药公司。', '费米子', '汤姆有限公司。', '桑利夫制药公司。，有限公司', '英久科技有限公司。', '健康PCB', '冈贝雷蒂卡', '威纳生产贸易有限公司', '独立制药有限责任公司', '大健康伙伴医疗器械科技集团有限公司', '岭南药厂（香港）有限公司。', '罗纳·普伦克·罗尔呼吸系统', 'Ebewe pharma ges mbh nfg kg', '费森尤斯·卡比肿瘤公司', '凯利制药公司', '香港口腔修复医学有限公司', '全国促销有限责任公司', '男孩黄油润滑油', '生命科技制药有限责任公司。', 'GW实验室公司。']
DC0000054	['UCB公司。', '皇家制药公司，布拉德肯公司分部', 'Publix超级市场公司。', '诺华眼科', '卡特奥辛溪蒸馏公司', 'DGH制药公司。', '赛科牙科用品公司。', '魁云母美洲狮', '丰收贸易集团公司。', '广州富力生物科技有限公司。', '班纳蒸馏公司', '西南佛罗里达高尔夫美国公司', '医疗核心服务公司。', '阿肯色州惩教工业', '雷诺兹烟草公司', '梅多布鲁克实验室公司。', '迪斯塔产品公司', 'FLEX-POWER韩国公司', '液体科学有限责任公司', '戴索尔公司']
DC0000055	['日本柴仔公司。', '微测试实验室公司。', '辛博制药有限公司', '合伙营销有限公司', '杰克曼（糖果）有限公司', '范例制药公司', 'JKX非常时尚，有限责任公司', '爱德华兹制药公司', 'Bayshore制药有限责任公司', '广州市婷彩化妆品有限公司。', '蒙姆公司', 'H和H实验室', '威酷玩具公司。', '阿尔法法姆派对有限公司', '德维玛产品有限责任公司', '皮肤科学实验室公司', '中远国际股份有限公司。', '库托产品公司', 'Beauty Beat公司。', '霍巴特实验室公司。']
DC0000056	['中国人民银行马克古巴成本加成制药公司', '何塞·洛佩兹', '沃克哈特英国有限公司', '莫兰食品有限责任公司', '杜卡尔公司', '欢迎。股份有限公司。', '深圳市春天化妆品有限公司', '雅诗兰黛区', '俄亥俄实验室制药公司', '国际医药科技公司。', '维塔普尔公司。', '广州爱奇生物科技有限公司。', 'Thefaceshop有限公司。', 'PRO2医疗气体有限责任公司', '墨西哥梦行者公司', '28英里蒸馏公司', '令人耳目一新的发现公司。', '双田Mtc动物健康公司', '帕尔默冲浪有限责任公司（DBA）', '直接急救']
DC0000057	['RB健康（美国）有限责任公司', 'Cellex-C国际公司', 'OxyAir医疗有限公司', '卡帕乙醇拉文纳有限责任公司', '面对现实公司。', 'Amicus欧洲治疗有限公司', '加州制药有限责任公司', '西山医疗供应有限公司', '厄普约翰', '施乐辉医疗有限公司。', '通用制药公司。', 'Ozsoy Organik Temizlik骨灰盒。结束。瓮。帕兹。存储区域网络。我抽搐了。Sti有限公司。', '我的身体', 'Nicholas Pirmal印度有限公司英国', '乔恩斯有限责任公司', '坦斯产品公司。', 'Spectra医疗设备有限责任公司', '海维公司。', '索里索公司', '伊斯塔制药公司']
DC0000058	['洛克镇酿酒厂有限公司。', '上海追随日化', 'Carepro健康风险管理', '田纳西医疗设备公司', 'CleanWell有限责任公司', 'GSH Home Med Care，Inc.dba WellSpan医疗设备', '艾里亚有限责任公司', '美亚制药公司。', '联合国民经纪公司。', '潍坊红阳药房有限公司。', '广州市美丽希望国际贸易有限公司。', '泰克实验室公司。', '利珀兄弟公司。', 'Cbd研究实验室公司', '瑞吉制药公司。', '金斯威贸易', '海斯美国有限公司。', '斯凯德姆公司。', '安得瑞制药公司。', '马里公司。']
DC0000059	['奥尔安全', '方铅矿生物制药公司。', 'GFC生命科学有限公司。', 'Vii V医疗保健公司。', '阿顿制药公司。', '隐藏弹簧制造有限责任公司。', 'Dermalogica公司', '媒体力量公司。', '山地市生物科技有限公司。', '诺华制药公司', 'NXM全球合作伙伴有限公司', '伯克制药公司', '贝科有限公司。', '科雷沃有限责任公司', '氧气', '基因博士有限公司', '国际食品法典', '拯救精神有限责任公司', '杰罗姆·史蒂文斯制药公司。', '阿斯科特霍斯普制药有限公司特拉维诺实验室分公司']
DC0000060	['高露洁口腔', '诺华消费者健康公司', '科尔巴实验室公司。', '深圳市巴林达科技有限公司', '应用生物学', '霍尔曼酒厂有限责任公司', '320工作室公司', '高德玛研发公司', 'MINISO DEPOT CA公司。', '总包装服务', '太平洋全球贸易有限公司', '东光朔国有机硅制品有限公司。', '国际水域私人有限公司。有限公司。', '农耕水疗中心', '天然免疫原公司。', '医学实验室', '阿玛瓦拉公司', '探索健康', 'Prx制药公司', '制造公司']
DC0000061	['厦门宏世信科技有限公司', '布鲁尔科学公司。', '江苏美帆生物科技有限公司。', 'MKR国际公司', '阿姆拉普尔海外公司', 'Nex航空公司', '永盛生物科技有限公司。', '布法罗轮椅dba迈尔斯堡氧气', '阿斯伯里公园蒸馏有限责任公司', '佩斯健康公司。', '联盟包装集团公司', '布伦海姆制药公司', '首选制药公司。', '白羊座制药公司', '伊春制药公司', '加拿大7327641公司。', '超越化学', '诺沃科尔制药公司', '阿梅德拉制药有限公司', '沙洛姆，S.A。']
DC0000062	['康德护肤有限责任公司', 'Aquatonale FZC', '阿奎坦特实验室', '哈里斯T埃特有限责任公司', '北美默兹', 'MLS', '生化制药公司', '制药北美公司。', '德莱兹', 'Aphena Pharma Solutions-田纳西有限责任公司', '南佛罗里达州Ez产品有限责任公司', 'MSP疫苗公司', '台州康平医疗科技有限公司', 'Premier Brands Usa Llc', '劳拉蜡烛有限责任公司', '太阳医药加拿大公司', '真正的维珍芦荟公司', '宁波远东实业有限公司', '卡利制造有限责任公司', 'Sn环球有限公司。']
DC0000063	['ALPHAPHARM私人有限公司。', '索拉拉阳光护理公司。', 'Wh营养品有限责任公司', '佩里戈研发公司', 'KKJ&Associates有限责任公司', '复星制药美国公司。', '达芬实验室', '玛雅制药', 'Valeant Group Cosmederme公司', '拉弗饮料有限责任公司', '赛法松制药有限责任公司', 'SpecGx有限责任公司', 'Serysi S De R L De C V公司', '沃鲁索尔', '纳科制药有限公司', 'Macromed Pharmicia公司。', '自然新斯科舍健康产品有限公司。', '考克斯健康之家支持', '珀森科维公司。', '纯控股有限公司']
DC0000064	['ALTANTIC生物制品公司。', '拉肯实验室公司', 'Woa咨询集团有限公司', '广州赛美药业有限公司', '西顿制药公司', '雷迪博士实验室公司。', 'JLA酿酒厂有限责任公司', '梅尔诺曼化妆品公司', '威望品牌控股有限公司。', '全地形', '第三十七有限责任公司', 'MCM疫苗公司。', 'DOJB合伙有限责任公司', '银河生物公司。', '经理', '苏州华泰医疗科技有限公司', '喜庆DraxImage有限公司，dba喜庆放射制药公司', '南切斯特县耐用医疗设备有限公司。', '保利制药，', '莫纳克制药公司。']
DC0000065	['RX PHARMA-PACK公司。', '斯特拉特焊接供应公司。', '舒适实验室', '奥伦纳索', '狄龙医疗用品', '华进生物化妆品有限公司。', '诺丁酒店', '贝波特实验室公司', '雷诺实验室公司。', 'Pmd纽约', '西沃德制药公司。', '专业制药公司', '阿尔门化妆品集团', 'Primedics实验室', '合同制药公司。', '李亚当斯实验室', '南伊利诺斯大学', '罗伯特·戈登工业有限公司。', 'K国际有限公司。', '火星Fishcare北美公司。']
DC0000066	['宁波天博急救用品有限公司。', 'Prefered Medical Products，巴拉德医疗产品的一个部门', '夏尔美国制造公司。', '伦敦交易所窗口公司。', '施贵宝制造公司。', 'Gms工业供应公司。', '英国电信用品西部公司', '德沃化妆品有限公司', '100%香水公司。', 'MFB全球有限责任公司', 'Dsp护肤品', '卫生保健实验室公司。', '印度有限公司', '聚变加速有限责任公司', '专业工业产品', '桑塔鲁斯公司。', '容心药业有限公司。', '优质包装', '韦尔科品牌有限责任公司', 'Sigmapharm实验室有限责任公司']
DC0000067	['7774672加拿大公司', '美国棉花公司。', 'Regenera y Transforma，S.A.de C.V。', '文科公司。', '能源技术集团有限责任公司。', 'MiWorld配件有限公司', '里士满药房与外科公司。', '郑州机场康悦生物科技有限公司。', '美容实验室有限责任公司', '帕西拉有限公司', '阿玛格制药公司。', 'Reviresco有限公司。', 'Bextera有限责任公司', '美国医疗保健有限责任公司', '美第奇制药公司', '克莱默·诺维斯', '我的抽气杆', 'Biovail制药公司。', '药店', 'Hoechst Roussel加拿大公司。']
DC0000068	['斯托特面部护理公司。', '德莫拉斯超市公司。', '深圳市耀兴实业有限公司', 'H&H实验室公司。', '泰国草药温泉酒店', '马雷克·休莱克有限责任公司', 'Mangiacotti公司', '梅加索尔化妆品有限公司', '艾达雷克斯制药有限公司', '格伦代尔公司', 'Desaviesa Mundial S.De R.L De C.V', '尼特莫伊实验室公司', '广东天工国际贸易有限公司。', '特萨罗生物荷兰公司。', 'Geiss，Destin+Dunn', 'Lhp制药公司', 'USL制药公司。', 'Holopack Verpackungstechnik有限公司', '人民清洁用品', '瑞奇与瑞兹香水工业有限公司']
DC0000069	['拜耳医疗保健有限责任公司', '春宇药业有限公司。', '托莱多Mtb氧气设备公司', '基于Q的解决方案公司', '工业化学解决方案有限责任公司', '阿里比奥H&B酒店', '关键制药公司先灵葆雅分公司', '现代Ibt有限公司。', 'Healthwell', 'Metrex研究公司', 'Eos产品有限公司', '宁波新飞日用品有限公司。', '滋补沐浴及身体用品深圳有限公司。', '赛诺菲美国公司', '草药权威', '海洋医疗私人有限公司', '杰马克制药公司', '伟大的加拿大生活方式公司。', '第一KJM公司', '大型企业']
DC0000070	['弗罗吉雾有限责任公司', '中国凝胶有限责任公司', '萨伯斯公司', '新英卫生用品（山东）有限公司', 'Esba实验室公司。', 'Safehands有限责任公司', 'Efas健康产品公司。', '来自死海的“水晶”健康与美丽有限公司', '斯图尔特-杰克逊制药公司', '格雷斯与斯特拉公司', '斯特里克公司。', '肖特韦尔氢电子有限责任公司', '折扣美元集市', 'WW国际有限公司。', '起源生物科学公司。', '300万制药公司，是300万加拿大公司的一个部门', 'Nxstage医疗公司', 'Triple S.A.K.A标准化卫生系统公司', 'Gw制药（国际）有限公司。', 'Aphena Pharma Solutions新泽西有限责任公司']
DC0000071	['Avantek资本有限责任公司', '科雷梅迪科斯', '广州美盛化妆品有限公司。', 'Gage Lucky 13 Llc Dba Tecumseh氧气和医疗供应', '施纳普莱切有限责任公司', 'DR产品', '辉瑞', '墨西哥胶体公司。', 'Freshorize有限公司', 'Genpharm Ulc', '摩根医疗设备与供应', '皮肤美学公司。', '另类制药公司', 'U&D2有限公司。', '如新世界公司', '广德新牦牛有限公司。', 'Lsl工业公司', '眼科治疗公司。', '阿托米有限公司。', '浙江优莎化妆品有限公司']
DC0000072	['基本健康', '施瓦兹制药公司', 'TRILOGIC有限公司', '泛美地产公司。', '卡莱奥公司', '特瓦制药美国公司。', '格伦马克仿制药有限公司', 'Nipro诊断公司。', '海尔博斯公司。', '汕头市康杰日化实业有限公司', '纳什芬奇公司（我们家族）', '义乌佳尼罗蒂化妆品有限公司。', '带状SRL', '德克萨斯石材有限责任公司Dba德克萨斯矿物和化学品', '强生消费品公司，强生消费品公司的子公司。', '中心制药公司', 'CarePartners药房有限责任公司', 'Ascend实验室有限责任公司', '普渡制药有限公司', 'Kenher Servicios Industrials，S.de R.L.de C.V。']
